名称,图片,主料,辅料,调料,口味,方法,地域,季节,步骤,热量(卡路里),营养
冰糖肘子,379750.jpg,猪前肘 生抽,花椒粒 陈皮 八角 草果 肉蒄 桂皮 丁香 香叶 花雕酒 老抽 大䓤 姜片 蚝油,,咸甜,,,秋季食谱 冬季食谱,"['成品图', '猪前肘洗净，几句好话让买肉的师傅把肉皮表面的脏东西刮干净哈！', '锅中倒入猪肘倒入清水没过肘子、放入大葱、姜片、倒入料酒煮开5分钟后捞出，观查一下肘子表面是否干净，是否再次清洁拔毛，根据情况进一步完善；', '肘子上用刀划两刀，再准备好所有的调料；', '另起一个小锅放入冰糖、倒入清水小火煮成焦糖色；', '倒入开水放入所有的调料煮出香味；', '另起一个电压力锅放入清理干净的肘子、倒入煮好的糖水；', '放入大葱和姜片，最后倒入老抽、花雕酒及蚝油盖上锅盖启动“豆/蹄筋”焖炖至结束；', '煮好的肘子放入汤锅中先不用取出，浸泡腌制过夜；', '第二天取出肘子放入炒锅中，下面放一个捞勺防肉皮粘锅，电压力锅汤汁中捞出所有的调料不要；', '剩余的汤汁倒入锅中，中大火收汁；', '一边收汁一边勺子往肘子上浇汁至浓稠；', '香香的肘子完成了！', '成品图', '成品图', '成品图']",300,富含蛋白质、含胶原蛋白、维生素A
蜜豆奶冻,364187.jpg,奶冻粉,开水 蜜豆 白砂糖,,奶香,,,夏季食谱,"['准备好奶冻粉，然后还要白砂糖，最后有些奶粉', '把奶冻粉和其他的奶粉白砂糖混合在一起', '进行加热，然后用小勺子不断的搅拌', '等待凝固之后即可舀起来看看', '最后在凝固好的奶冻上加入一些蜜豆即可']",150,富含蛋白质、含钙、维生素E
农家烧豆腐,371383.jpg,五花肉 豆腐 香菇 青辣椒 红辣椒 姜 蒜 葱,味极鲜 蚝油 白糖 高汤粉 胡椒粉 鸡粉 盐,,咸鲜,,,秋季食谱 冬季食谱,"['肉片适量，香菇适量，葱姜蒜切米，青红辣椒切段', '豆腐适量切片', '锅中放入适量的油烧至五成热放入豆腐炸至，或者改煎豆腐都可以', '炸至金黄捞出或煎至两面金黄', '锅留底油放入肉片煸香', '放入葱姜蒜末，香菇炒香', '加入少许豆瓣酱炒出红油', '放入豆腐', '加入适量的开水刚没过豆腐就可以，调入味极鲜酱油2勺，蚝油1勺，糖少许，魔厨高汤粉半勺，胡椒粉半勺中小火炖十几分钟', '然后放入青红尖椒，放入一勺鸡粉，淋入少许水淀粉大火收汁，出锅撒少许葱花或蒜苗即可', '成品图', '成品图']",100,富含蛋白质、含钙、铁元素
豉鱼油麦菜,293518.jpg,油麦菜 豆豉鱼罐头,蒸鱼豉油 鸡粉 香油 葱 小米椒 姜,,咸鲜,,,秋季食谱,"['食材', '豆豉鱼切碎葱姜小米椒洗净切丝', '油麦菜洗净切段', '油麦菜入开水锅焯一下', '香油鸡粉豆豉鱼蒸鱼豉油一起入锅，小火熬出香味', '浇在油麦菜上', '最后放三丝并淋热油激香']",100,富含维生素、含蛋白质、铁元素
啤酒煎焖黄花鱼,219383.jpg,黄花鱼 啤酒,葱丝 姜丝 蒜片 红椒丝 生抽 盐 胡椒粉 糖 淀粉,,咸鲜,,,秋季食谱 冬季食谱,"['葱姜红辣椒切丝，鱼去鳞去内脏洗净，沥干水', '鱼肉身上两面划两刀，不要切到骨，约二分之一深处，用纸巾擦干鱼身上的水，两面抹少许盐，在抹一层薄薄的淀粉', '煎锅加热有烧至7成热冒烟时，下鱼煎，先不要移动和翻动，让它定型', '一面煎至金黄后再翻另一面煎至金黄', '把煎好的鱼先盛出来放一边', '煎锅留底油，放葱姜丝蒜片和红椒丝小火煸出香味', '加生抽，适量的盐，胡椒粉，少许糖，炒出香味后下啤酒，改大火', '啤酒的量约末过鱼的一半，啤酒烧开后下鱼', '用勺子把汁浇在鱼身上，直至收汁，出锅']",150,富含蛋白质、含维生素D、维生素B、铁元素
浓汤娃娃菜,288793.jpg,娃娃菜 油 蒜,香菇 葱,,咸鲜,,,秋季食谱,"['大蒜爆香，喜欢吃蒜的可留在锅里，不喜欢吃的取出扔掉', '香菇炒出香味', '倒入浓汤，烧开', '放入娃娃菜，撒入少许盐（浓汤底有咸味）煮开锅，关火焖一会', '美味的浓汤娃娃菜可以上桌啦']",100,富含维生素、含蛋白质
杏酱,270123.jpg,杏,白糖 冰糖 清水 白醋,,酸甜,,,夏季食谱,"['杏准备好，洗净', '去核切小块', '放入白糖', '倒入盆里面搅拌均匀之后腌制一个小时左右，直至出汤为止', '腌制好了之后，用手捏的稍微碎一点，然后煮锅倒入水和腌制好的杏，放入白醋开大火煮制，开锅之后转小火并放入冰糖，慢慢熬，中途要不停的搅拌，防止糊锅，直至变得粘稠，大概是40--50分钟左右', '熬制好了之后关火，放凉！成品欣赏！', '成品欣赏！', '成品欣赏！', '成品欣赏！', '成品欣赏！']",100,富含维生素
生炝小河虾,434342.jpg,新鲜的小河虾,料酒 生抽 香醋 白砂糖 老姜 大蒜 橙皮 小香葱,,咸鲜,,,秋季食谱 冬季食谱,"['把买回来的小河虾清理干净。', '用水冲洗干净后再用清水活养1个小时，然后倒掉清水，再用凉开水漂洗后养20分钟，把水倒去后沥干水份。', '把老姜，大蒜分别剁成小粒，香葱切成碎末，再用1块橙皮去掉里面白色部分后切成碎末。', '把清洗干净的小河虾放入碗中，加入料酒，生抽，香醋，白砂糖，拌匀后再把姜蒜葱末放进去一起拌匀，等入味后就可以吃了。', '炝好的小河虾，吃上去生嫩，清鲜，加上各种调料复合味的辅佐，确是难得的美味。']",90,富含蛋白质、含钙、维生素A
柠香烧鸡翅,176883.jpg,鸡翅,柠檬 蒜头,,酸甜,,,秋季食谱 冬季食谱,"['1.取一碗放入鸡翅、盐酱油料酒蒜末胡椒粉少许抓腌半小时备用。', '2.起锅热油，将鸡翅煎至两面金黄，加少许水煮滚后转中小火煮至收汁。', '3.清水洗净后用削皮器轻轻地剥掉外皮，不要削到柠檬里面的白色部分（会苦涩）。', '4.将削好的皮切丝备用。柠檬挤出柠檬汁。', '5.加一勺蜂蜜一勺生抽。搅拌调成混合汁。', '6.待鸡翅两面都煎好后倒入酱汁。']",200,富含蛋白质、维生素A
夏日三色春卷,340196.jpg,胡萝卜 黄瓜 卷心菜 紫甘蓝 豆芽 鲜虾 猕猴桃,甜辣酱 越南春卷皮,,甜味,,,夏季食谱,"['胡萝卜切丝，备用', '1/2黄瓜切片', '1/2黄瓜切丝', '卷心菜，紫甘蓝切丝备用', '猕猴桃切片，也可以换成喜欢的水果，芒果，草莓都可以', '豆芽提前焯好，虾仁煮熟，备用', '越南春卷皮放入冷水中泡软', '拿出后平铺在盘子上', '接下来就是自由组合时间啦', '越南春卷就是这么随性的一道菜', '喜欢什么就卷什么', '组合好后将春卷皮向内叠好就完成啦', '向内卷好', '哦对了，一定不要忘了甜辣酱', '完成啦，光是看着也会心情大好', '来一口么']",150,富含蛋白质、维生素A、维生素C、膳食纤维
清炒红乳空心菜,127304.jpg,空心菜,豆腐乳,,咸鲜,,,夏季食谱,"['空心菜掐成5cm左右的段，清洗干净沥干水份', '豆腐乳用筷子夹成小块锅中加入适量油，倒入准备好的豆腐乳，小火慢慢翻炒', '等闻到豆腐乳的香味后，倒入空心菜，大火爆炒，待空心菜炒变色后，加少许盐，快速翻拌几下出锅']",100,富含维生素、含蛋白质
烧鱼泡,331343.jpg,鱼泡,生姜 辣椒 花椒 八角 桂皮 香叶 白果 陈皮 山楂 丁香 小茴香 盐 鸡精 老抽 糖 香醋 香菜 香葱,,中辣,,,夏季食谱,"['买回的鱼泡去油洗净剪破。', '热锅下油先把生姜煸炒，在放辣椒、花椒、八角、桂皮、香叶、白果、陈皮、山楂、丁香、小茴香煸香。', '加入沥干水的鱼泡翻炒片刻，加入三大碗水焖煮。', '加入香菜香葱盖盖焖煮，至水将干放盐、鸡精、少许老抽、糖、香醋调味即可出锅了。', '成品']",100,富含蛋白质、含脂肪、维生素A
蒜香白斩鸡,249022.jpg,鲜草鸡,小葱 生姜片 料酒 蒜末 鲜酱油 香醋,,咸鲜,,,春季食谱 夏季食谱 秋季食谱 冬季食谱,"['小葱打结，准备生姜片，蒜末和料酒', '鲜草鸡洗净', '锅内倒入清水加入葱姜大火煮沸', '把鸡下入', '倒入料酒后盖上大火煮', '差不多10分钟后打开用筷子戳进最厚的鸡腿部位，没有血水液出就说明熟了', '捞起浸入提前准备好的冰水里至凉后捞起沥干水分', '蒜末倒入醋和鲜酱油拌匀', '等凉凉后斩块装盆再把调料淋上即可享用']",100,富含维生素、含蛋白质、维生素B
菠萝油条虾,136591.jpg,基围虾 油条 菠萝,枸杞 蛋清 沙拉酱,,咸甜,,粤菜,夏季食谱,"['洗净的虾去壳，用牙签从虾背的第二、三节处将虾线挑出；', '处理好的虾放入碗中，加入适量的盐，姜丝，生粉和蛋清，抓匀腌制一下；', '油条切成段，用勺背将中间掏空；', '在油条中间塞入腌制好的虾仁；', '将油条的两端蘸些淀粉封口；', '锅中烧热油，下入油条进去煎，火不要太大；', '煎到油条表面微微变色后捞出控干油脂，准备好其它原料：菠萝块，色拉酱和几粒枸杞；', '将油条虾和菠萝混合放入碗中，表面上撒些色拉酱，再点缀枸杞即可；', '端上桌去。']",150,富含维生素C、含蛋白质
香菇酿,262547.jpg,鲜香菇 干香菇 肉馅,生粉 蚝油 小葱 盐 油 生抽,,咸鲜,,,夏季食谱,"['鲜香菇洗净，剪掉菇柄。', '在上面用水果刀划个十字。', '剪掉的菇柄，再切掉最根部的位置，中间部分的菇柄留着。', '准备剁好的肉馅（步骤省略），留下的菇柄与泡发的干香菇（忘记拍照了，大概是5、6朵干的小香菇的量）一起剁碎，小葱切碎备用。', '把剁碎好的材料放入碗内，依次加入适量盐、生粉、油、生抽，然后拌匀。', '拌匀后的肉馅。', '用勺子把肉馅依次酿入鲜菇里，尽量压紧一些。酿好的香菇。', '平底锅热锅下油，把酿好的香菇肉馅面朝下，小火煎熟。', '煎至微金黄色的香菇就熟了，然后翻个面，继续煎一会，这时锅里会析出鲜香菇的水分。', '析出的水分不用倒掉，把煎好的香菇夹出，平底锅中火，倒入少许清水。', '再倒入2勺蚝油，煮开收汁即可淋在煎好的香菇上。', '做好的香菇酿也叫酿香菇哈。']",100,富含膳食纤维、含蛋白质、维生素D
白菜香干炒千张,204487.jpg,白菜 香干 千张,酱油 盐,,清淡,,,冬季食谱,"['食材：白菜、香干、千张', '将白菜清洗一下。', '放在案板上切成丝，待用。', '将香干放在案板上切成丝，待用。', '将千张放在案板上切成丝。', '放入大碗中，用热水泡一下，待用。', '烧锅倒油烧热，下入切好的白菜翻炒翻炒。', '接着，下入切好的香干和泡好的千张，加适量的清水。', '翻炒翻炒至白菜熟透。', '然后，加适量的酱油。', '加适量的盐。', '调味炒匀，即可。', '出锅装盘。']",100,富含维生素、含蛋白质、钙
芽菜肉臊子,204716.jpg,猪肉末 碎米芽菜,油 香葱 姜 鲜酱油 老抽 糖 料酒,,咸甜,,川菜,夏季食谱,"['备好食材：肉末、葱花、姜末、碎米芽菜', '起油锅，开中火', '将油烧温热下肉末翻炒', '肉末炒至变色，往外吐油时放入姜末和料酒翻炒片刻', '倒入芽菜继续翻炒', '把芽菜炒香后放入适量的鲜酱油、老抽和糖', '起锅前放入葱花，翻炒均匀即可', '做好的臊子放于冰箱冷藏室，随吃随取！']",200,富含蛋白质、维生素C、铁元素
油豆腐酿肉,198801.jpg,油豆腐 猪肉馅,油 盐 葱花 姜末 鲜酱油 老抽 糖 白胡椒粉 玉米淀粉,,咸鲜,,,秋季食谱 冬季食谱,"['肉馅里加入：葱花、姜末、盐、鲜酱油、胡椒粉、少许糖和3勺玉米淀粉，鸡精随意', '顺一个方向搅拌上劲（如果肉馅太干，可以加适量清水）', '自己做的油豆腐，将油豆腐的表皮用手撕开一个口子油豆腐的做法：http://home.meishichina.com/recipe-198703.html', '把拌好的肉馅塞进去', '塞好后备用', '锅中油热后开小火，放入葱姜末爆香', '倒入鲜酱油、老抽和一勺糖充分炒匀（喜欢吃五香味的，可以放点五香粉或一个八角）', '再倒入一碗清水', '水开后放入酿好的油豆腐，盖上盖子中小火焖煮大约8分钟', '煮至肉馅熟透（用锅铲按压在豆腐上感觉比较硬，就说明熟了），汤汁还有三分之一，勾入薄芡，翻炒均匀即可出锅', '非常入味鲜美的一道菜就这样上桌啦！']",150,富含蛋白质、含脂肪、维生素E、钙
香辣猪蹄,143742.jpg,猪蹄,葱 姜,,中辣,,,秋季食谱 冬季食谱,"['将猪蹄在沸水中过一下，去掉上面的猪毛', '将猪蹄放入高压锅中，加入葱、姜、料酒，进行压制', '锅里放油把猪蹄炒皮微黄有泡。盛出来备用。', '锅里油放郫县豆瓣，小火慢慢炒。', '加入白糖继续炒一下。', '猪蹄放进去，晃动锅，翻炒至猪蹄均匀沾上酱。', '放入八角，花椒，葱姜一起炒出香味。（此过程中火）。', '加入料酒，生抽，炒均匀，兑热水淹没猪蹄。大火烧开，小火焖一小时。放盐。大火收汁，出锅前放鸡精即可。（焖制的时候可以转入砂锅，没有也可以不用）']",500,富含胶原蛋白、含脂肪、维生素A、钙
可可芝麻饼干,140878.jpg,低筋面粉 可可粉 黄油 鸡蛋 白砂糖 泡打粉 小苏打 白芝麻,蛋液,,甜味,,,儿童节,"['将低筋面粉、可可粉和泡打粉、小苏打提前过筛备用。', '黄油软化后，加入细砂糖，用打蛋器搅拌均匀。', '用电动打蛋器打发到黄油顺滑，体积稍膨大，颜色变浅。', '分次加入打散的鸡蛋，搅打均匀。每一次都需要搅打到黄油和鸡蛋液彻底融合，再加下一次。', '搅打完成后，黄油应该呈浓滑细腻的状态。', '将低粉和可可粉混合物倒入打发好的黄油里。', '用橡皮刮刀翻拌均匀，用手揉成面团(成团即可，不要过度揉搓)。', '利用刮板来整成长方形，可以根据自己的喜好随意造型。', '把面团裹上保鲜袋，然后放进冰箱冷冻室冷冻30分钟以上。', '冻硬的面团拿出来，用刀切成片状。', '将切好的可可面团，摆放在垫有油纸的烤盘上。', '在每个可可饼干的表面，刷上一层全蛋液。', '然后将涂有全蛋液的那一面，放在芝麻里。', '轻轻一粘，便会附上许多白芝麻。', '将每个可可饼干的表面都粘上白芝麻，放在烤盘上，将烤箱预热180度。', '烤箱中层，上下火，170度15-20分钟即可，放凉后会更加美味。']",500,富含蛋白质、维生素E、铁元素
土豆焖鱼,290569.jpg,土豆 皖鱼,油 盐 酱油 料酒 生姜 香葱,,葱香,,,秋季食谱,"['鱼洗净，切块，放盐、油、料酒、酱油拌均腌制8分钟；', '土豆洗净切块，放入盐水中浸泡5分钟，捞出，沥干水待用；', '热锅倒油，放入土豆块翻炒至八成熟，起锅；', '热锅，倒油，小火煎鱼块；', '微黄翻转另外一面继续煎至二面微黄即可；', '加入土豆块，翻炒；', '放酱油，盐翻炒、收汁；', '放葱炒均即可。']",180,富含蛋白质、含维生素B、铁元素
南瓜冰皮月饼,415336.jpg,澄粉 糯米粉 大米粉 牛奶 白糖粉 南瓜,调和油 葵花籽仁 花生 玫瑰酱 蜂蜜 熟米粉,,甜味,,,中秋 秋季食谱,"['牛奶加入澄粉，牛奶把澄粉完全融化混合均匀。', '加入调和油混合均匀。', '再加入白糖粉混合，等白糖粉全部融化后。', '筛入糯米粉搅拌。', '再筛入大米粉搅拌均匀。', '搅拌均匀后，放入已烧开的蒸锅里。', '加盖防止落入水蒸汽，盖锅盖大火蒸10分钟。', '10分钟后关小火，搅拌均匀，防止加热不匀。', '再加盖大火蒸30分钟后取出，晾凉。', '活成团，成冰皮月饼皮备用。', '南瓜蒸熟过滤取蓉，南瓜蓉放入微波箱转几分钟，除去水份，取一块冰皮月饼皮加南瓜蓉混合均匀，成黄色月饼皮备用。', '馅料：去红衣花生、葵花籽仁炒熟后敲碎，加入蜂蜜、玫瑰酱调成馅料备用。', '馅料分成10等份。', '双色月饼皮同样各分成10等份。', '双色面团按压在一起，拍成园饼备用', '熟米粉备用。', '拍成园饼的冰皮月饼皮。', '包入馅料，收拢饼皮。', '团成球。粘上熟米粉。', '放入月饼模，轻轻压平、压实。', '左敲敲、右敲敲，磕出月饼。', '同样的方法做出所有的月饼，放入冰箱冷藏后食用，口味更佳。']",150,富含碳水化合物、含维生素A、膳食纤维
